user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Chrystelle,,"Cool, Calm & Consistent | 👩🏾‍💻🎶 | All opinions are mine and mine alone.",2009-06-04 22:36:45+00:00,180,576,8781,False,2021-11-24 21:01:34+00:00,"Honestly, I’m with Kanye on this one - they better give that man album of year    at the #GRAMMYs this year",['GRAMMYs'],Twitter for iPhone,False
Nnamdi Ahaaiwe,"Abuja, Nigeria",26th October,2012-05-23 12:07:44+00:00,78,340,5732,False,2021-11-24 21:00:44+00:00,The #Bias results from #GRAMMYs Voting members favoring “LEGACY” Artistes with whom they have longstanding Industry relationships over other artistes whose works may be far better than their LEGACY friends. #Wizkid is battling with several LEGACY artistes nominated alongside him. https://t.co/SoVMvoM3SV,"['Bias', 'GRAMMYs']",Twitter for iPhone,False
British GLAMOUR,"London, England","Beauty, fashion and empowerment, straight from GLAMOUR HQ. Instagram: glamouruk | Join our new FB group ‘Money Matters’.",2009-04-22 12:39:07+00:00,480642,4771,3410,True,2021-11-24 21:00:08+00:00,"Who will win big in 2022? #Grammys
https://t.co/BF6uJlIs8O",['Grammys'],SocialFlow,False
ZeroTwo Analytics,,Social Analytics for Twitter. Understanding the digital environment of Mexico.,2019-01-31 03:35:03+00:00,1512,0,0,False,2021-11-24 21:00:05+00:00,"Top #Tendencias de Twitter en  #México
Nov 24 2021:
#GRAMMYs
Namjoon
James Corden
Thanksgiving
namjoon
ARMY
GET WELL SOON LISA
#BTSxLateLate
Black Friday
Love U https://t.co/oYL6jWp40E","['Tendencias', 'México', 'GRAMMYs']",ZT Social Analytics,False
Arab News Pakistan,Pakistan,The Pakistan edition of @ArabNews | Follow us on YouTube (https://t.co/LzfjBNEfdI…) || FB (https://t.co/wc0Sa64NHD) || Instagram (https://t.co/iqjIUcZ5Vg),2017-11-19 11:49:12+00:00,44856,37,0,True,2021-11-24 21:00:00+00:00,"Singer #AroojAftab, has become the first Pakistani to be nominated in the best new artist category for the Grammy Awards || #GRAMMYs #Pakistan https://t.co/bY4DNnFHht",['AroojAftab'],Emplifi,False
Concord Jazz,"Los Angeles, CA","The iconic jazz imprint, playing an essential role in keeping jazz’s rich artistic traditions alive since 1973.",2009-07-29 18:01:07+00:00,1225,132,2386,False,2021-11-24 21:00:00+00:00,"Huge congrats to @EspeSpalding on her GRAMMY nomination for ‘Best Jazz Vocal Album’ for SONGWRIGHTS APOTHECARY LAB!

https://t.co/MPKOxs5z9v✨

#Grammys https://t.co/QfBHYHSTnA",,Twitter Web App,False
Pure and Wild🇸🇱,universe,Technologist | Digital journo | Blogger | Pan-Africanist | Influential | I Gist | Believer |  photographer | Human Activist | An Introvert | Pacifist | Novelist,2015-03-25 23:47:10+00:00,776,1729,11975,False,2021-11-24 20:59:55+00:00,"Since 2018, @burnaboy has been involved and contributed to at least one Grammy-nominated project.

As a whole, he has now contributed to a total of 8 #Grammys nominated projects.

He is also now the first and only Nigerian artiste to earn three (3) consecutive Grammy nominations https://t.co/7yndzRtQOY",,Twitter for Android,False
Blank,hell,"welcome to the public journal of my mood swings. this profile is about tennis, vaccination and Lana Del Rey",2021-02-16 14:01:12+00:00,115,143,9412,False,2021-11-24 20:58:58+00:00,Miley Cyrus with career defining masterpiece of a record received 0 (ZERO) nominations... And that's all you need to know about the relevance of  #GRAMMYs #GrammyNominations,,Twitter for Android,False
rcarecords,"New York, NY",,2008-12-15 18:43:20+00:00,460601,1455,4451,True,2021-11-24 20:58:26+00:00,"FOO FIGHTERS FOR #GRAMMYS 2022

// @foofighters https://t.co/aIsJJJ1GZP",['GRAMMYS'],Twitter Web App,False
OUR TODAY,"Kingston, Jamaica","Media/ News Co. Our Today, Inspiring Your Tomorrow IG: https://t.co/VwtU7irGfh FB: https://t.co/2geImqtJTP",2020-05-02 00:42:07+00:00,623,142,160,False,2021-11-24 20:57:59+00:00,"Visit the link:

https://t.co/6JOLWzRQPw

@Babsy_grange @RecordingAcad 

#OTEntertainment #BestReggaeAlbum #GRAMMYs #GrammyAwards #GrammyAwardNominations #Spice #SeanPaul #Etana #JesseRoyal","['OTEntertainment', 'BestReggaeAlbum', 'GRAMMYs']",TweetDeck,False
I N D I 🌙🧘🏾‍♀️,,“ I am The African Lotus - Remnant of Calamity” || 🤍,2020-01-10 08:22:35+00:00,30,43,424,False,2021-11-24 20:56:58+00:00,"The #GRAMMYs just lost its value this time around. Used to be top tier , what a shame.",['GRAMMYs'],Twitter for iPhone,False
I N D I 🌙🧘🏾‍♀️,,“ I am The African Lotus - Remnant of Calamity” || 🤍,2020-01-10 08:22:35+00:00,30,43,424,False,2021-11-24 20:56:57+00:00,"#GRAMMYs has really put insult to injury by nominating mediocre artists in the same genres/categories of actual musicians , artists &amp; performers.",['GRAMMYs'],Twitter for iPhone,False
rcarecords,"New York, NY",,2008-12-15 18:43:20+00:00,460601,1455,4451,True,2021-11-24 20:56:56+00:00,"ELLE KING FOR #GRAMMYS 2022

// @ElleKingMusic https://t.co/bmGbTA1Gus",['GRAMMYS'],Twitter Web App,False
Hapilos,"New York, USA","We provide distribution solutions to music producers of all genres - Reggae, Dancehall, Soca, Gospel and more ... #Hapilos 📩 clientservices@hapilos.com",2011-08-09 21:14:22+00:00,15926,1029,4528,True,2021-11-24 20:56:19+00:00,"Congrats to all the Jamaican artistes who were nominated for this year’s Grammy Awards! It’s a big ting!

#grammys #reggae #spice
#grampsmorgan #seanpaul
#jesseroyal #etana #jamaica
#grammyawards https://t.co/dOFjgS5aGy",['grammys'],Hootsuite Inc.,False
rcarecords,"New York, NY",,2008-12-15 18:43:20+00:00,460601,1455,4451,True,2021-11-24 20:55:48+00:00,"DOJA CAT FOR #GRAMMYS 2022

// @DojaCat https://t.co/VIOCOtwQNM",['GRAMMYS'],Twitter Web App,False
𝔅𝔢𝔡𝔦𝔯,Belgium,🇧🇪🇹🇷 | fan account | backup: @MonsterBedir,2019-12-17 16:55:40+00:00,2100,1835,86114,False,2021-11-24 20:55:16+00:00,Miley is this year’s #GRAMMYs The Weeknd…,['GRAMMYs'],Twitter for iPhone,False
Kat Vianney,Uganda,He's done miracles on me. 🙏,2011-05-10 16:31:51+00:00,742,100,7168,False,2021-11-24 20:55:00+00:00,"As one writer said.. “We came from somewhere, not just from the wombs of our mothers and the seeds of our fathers but from a long line of generations who came before us”
#Donda #GRAMMYs #KanyeWest",,Twitter for Android,False
Nnamdi Ahaaiwe,"Abuja, Nigeria",26th October,2012-05-23 12:07:44+00:00,78,340,5732,False,2021-11-24 20:54:51+00:00,I was shocked that #Essence was not nominated for Record &amp; Song of the year. The fact that #Billboard took CEO of #RecordingAcademy/#GRAMMYs to task in an interview today speaks volumes showing it’s not just #Wizkidfc that are miffed but the WHOLE WORLD. The interview shows #Bias https://t.co/fwZdobL54E,"['Essence', 'Billboard']",Twitter for iPhone,False
JUH ANDRADE,,,2021-11-22 02:23:14+00:00,0,16,3,False,2021-11-24 20:54:46+00:00,@bts_bighit @RecordingAcad This is a huge honor🙏 Thanks to everyone who supports our music journey! 💜 @RecordingAcad #GRAMMYs #BTS #방탄소년단 https://t.co/OsEAA8kL27,,Twitter for Android,False
rcarecords,"New York, NY",,2008-12-15 18:43:20+00:00,460601,1455,4451,True,2021-11-24 20:54:27+00:00,"CHRIS BROWN FOR #GRAMMYS 2022

// @chrisbrown https://t.co/n6ccqoQWIw",['GRAMMYS'],Twitter Web App,False
anish,21•he/him•🇮🇳🇺🇲,"film, ⊃∪∩⪽, star wars, cbm
(uh-neesh)",2013-12-03 23:19:48+00:00,1364,1007,119430,False,2021-11-24 20:53:44+00:00,"#GRAMMYs snub smh
https://t.co/Ztb4eZ3Wtc",['GRAMMYs'],Twitter for Android,False
I N D I 🌙🧘🏾‍♀️,,“ I am The African Lotus - Remnant of Calamity” || 🤍,2020-01-10 08:22:35+00:00,30,43,424,False,2021-11-24 20:53:15+00:00,Really happy for the actual musicians in their respective genres who have achieved nods for the #Grammys - the musicians only.,['Grammys'],Twitter for iPhone,False
SNEHA,,,2013-10-16 18:23:04+00:00,3,31,216,False,2021-11-24 20:53:01+00:00,#GRAMMYs #BTSGOTARMYBEHINDTHEM Don't use BTS and ARMY Grammys. Why you didn't give any description to BTS? Why even didn't show their faces while they were announcing the nominees? https://t.co/lefp9RL4vk,"['GRAMMYs', 'BTSGOTARMYBEHINDTHEM']",Twitter for Android,False
rcarecords,"New York, NY",,2008-12-15 18:43:20+00:00,460601,1455,4451,True,2021-11-24 20:52:57+00:00,"ALICIA KEYS FOR #GRAMMYS 2022

// @aliciakeys https://t.co/DZtfdSi0u1",['GRAMMYS'],Twitter Web App,False
Mystical_Mermaid_333,"Utah, USA",🔮Oracle here. Guided by divine names of power. Subscribe if my messages help you in anyway. 💗💀👁 https://t.co/N2M1RPkEmV,2014-04-18 13:39:25+00:00,121,83,1392,False,2021-11-24 20:52:45+00:00,Keep moving forward and if you would like to book a private reading send me a message to help guide you on what needs to be released in your life. #GRAMMYs #GetWellSoonLisa #singyourdialect #SilambarasanTR #ลิซ่า #BTSxLateLate #BTSxLateLateShow #البوليفارد #KateBishop #sport #NFL https://t.co/Fot00rLLEw,,Twitter for iPhone,False
DayBrkr,"Wales, United Kingdom",DayBrkr - Better When I’m Bleeding coming 2021 🏴󠁧󠁢󠁷󠁬󠁳󠁿 .. mostly music and football stuff.,2016-02-03 18:40:06+00:00,718,1404,26913,False,2021-11-24 20:52:23+00:00,#Grammys are sex offender central this year then? Rotten. Fucking rotten.,['Grammys'],Twitter for iPhone,False
Faby💛🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷,Necochea- Argentina,"Bruno Mars is my 👑 #SilkSonic 
 🥰😍🥂 #BrunoMars #AnEveningWithSilkSonic
#Hooliganforever",2010-06-17 17:11:19+00:00,1677,364,33079,False,2021-11-24 20:52:04+00:00,@BrunoMars Congratulations  guys!!! The music is life!!!! #leaveTheDoorOpen 💕🥂 #GRAMMYs https://t.co/sL6xfyl4lG,"['leaveTheDoorOpen', 'GRAMMYs']",Twitter for Android,False
Ibrahim Thiaw,"Bonn, Germany",@UN Under-Secretary-General and Executive Secretary of the UN Convention to Combat Desertification (UNCCD)| Retweets do not = endorsement,2013-07-15 15:29:19+00:00,14328,110,3908,True,2021-11-24 20:51:55+00:00,"Kudos to @Rickykej , @UNCCD Land ambassador who got nominated along with @copelandmusic at the @RecordingAcad. Nominated for their album #DivineTides

We wish you all the best!

#GRAMMYs  #UNCCDLandAmbassador https://t.co/qeZoMMItDy",,Twitter for iPad,False
Tejai Moore,📍ATL/God's Hands.,"A Humble King 👑. 〽️〽️
Instagram: @TejaiMoore 
Singer|Songwriter|Producer|CEO|Father",2011-02-16 18:19:18+00:00,4868,1776,8890,True,2021-11-24 20:51:26+00:00,"And who else would I take with me when the day before Thanksgiving, I get invited to The GRAMMYs!!!! MAMA!!!!

I'm only able to bring 1 other person with me..and I wouldn't want any other woman alongside me on my first Grammy experience!!! #Excited #Mama #Grammys #Grammys2022 https://t.co/M3PplgPXRt",,Twitter for Android,False
I N D I 🌙🧘🏾‍♀️,,“ I am The African Lotus - Remnant of Calamity” || 🤍,2020-01-10 08:22:35+00:00,30,43,424,False,2021-11-24 20:51:08+00:00,The Grammys is for the streets now. #GRAMMYs,['GRAMMYs'],Twitter for iPhone,False
hivezluv phait tobik,"Osun, Nigeria","Hello, i am Dynamite, a professional on Digital marketing,Email marketing, Marketing strategy, E-commerce marketing, web traffic, etc..contact me",2018-09-17 13:43:54+00:00,141,1197,773,False,2021-11-24 20:51:06+00:00,"remove negative news article, video, image from google search https://t.co/dRspzroWb8 https://t.co/dRspzroWb8 #JohnsonOut #JAEHYUN #JAYB #JacksonWang #JENNIE #LUCAS #LISA #LALISA #LEICHE #RecepTayyipErdogan #USDT #GRAMMYs #GameFi #Image #NEWS #Apple #Google #wednesdaythought",,Twitter Web App,False
Music Maven,Beverly Hills,"The Leading Provider of Music Industry Analytics
https://t.co/aShFlpjaq1",2018-06-08 03:52:43+00:00,295,1493,121,False,2021-11-24 20:50:18+00:00,"The 64th Grammy Awards nominations complete list is finally revealed, and notable bagged a set of nominations! Who do you think gets the most nomination?

Check out our article here: https://t.co/KaSG7z6UHo
#64thgrammy #grammys2022 #GRAMMYs #GrammyNominations 
#GrammyNominatedBTS https://t.co/ngB6gtP9L3",,Twitter Web App,False
w,,peace of mind,2019-02-22 19:26:03+00:00,73,55,29030,False,2021-11-24 20:49:41+00:00,I vote #SelenaGomez #Revelacion for #BestLatinPopAlbum at the #GRAMMYs https://t.co/qeINDT1KOD,"['SelenaGomez', 'Revelacion', 'BestLatinPopAlbum', 'GRAMMYs']",Twitter for Android,False
artology,"Dhaka, Bangladesh","Logo and brand identity designer.
|| Contact me for freelance work || 
Email: raseltangail0@gmail.com",2019-07-17 16:34:49+00:00,57,67,245,False,2021-11-24 20:46:55+00:00,"#PropertyLogo #PropertyCanada #propertyforsale #Logo #Realtor #RealestateLogo #construction #australianproperty #homesforsale #Homework #GRAMMYs 
More Info / Order Now
https://t.co/zEBLwhsx3y https://t.co/xy2iIZI3FQ","['PropertyLogo', 'PropertyCanada', 'propertyforsale', 'Logo', 'Realtor', 'RealestateLogo', 'construction', 'australianproperty']",Twitter for Android,False
VenomX3,,Just 🏏 🎶🕷,2020-05-11 18:37:04+00:00,13,44,3960,False,2021-11-24 20:46:40+00:00,@RecordingAcad @JonBatiste @DojaCat @HERMusicx @justinbieber @billieeilish @oliviarodrigo Can hear a lot of crying noises in the comments #GRAMMYs,,Twitter for Android,False
cody rivas,"Arkansas, USA",Lifestyle#,2017-09-06 10:39:57+00:00,6,94,21,False,2021-11-24 20:46:21+00:00,@CashApp @themonaleo $cody47998 #GRAMMYs,['GRAMMYs'],Twitter for iPhone,False
Brujito Hechizero,Cordoba - Argentina,"Conductor, Locutor, Escritor, Filósofo, Poeta y Entretenedor. Soy Quien Soy",2012-08-17 10:03:39+00:00,586,1433,1502,False,2021-11-24 20:45:35+00:00,"El disco de covers de @chriscornell “No One Sings Like You Anymore” nominado al Grammy @RecordingAcad  https://t.co/a13LPY1HOX

 (https://t.co/auDltPh1jr) #NietoNiLoOtroDeTodoUnPoco #Blog #Música #BrujitoHechizero #chriscornell #soundgarden #coversong #Grammys2022 #GRAMMYS https://t.co/fKs5kyZbuz",,Twitter Web App,False
TheRealPresident,SF Bay Area,All Opinions and/or Personal beliefs expressed are my own and I am not compensated or pressured to post this content nor do they represent any employer/group.,2018-01-22 07:47:34+00:00,44,81,17897,False,2021-11-24 20:45:33+00:00,"📣Broad Daylight Heist happens with #Trump all his life!
I guess no one is man enough or good enough to catch this thief!!! Most Wanted of the Millennium.
#Dems #GOP #Qanons 
#NFL #NCAA #MLB #NBA #NHL 
#Oscars #Emmys #Grammys #Tonys
https://t.co/h3F5XRHZ2r",['Trump'],Twitter Web App,False
benswrite,"England, United Kingdom",writer/journalist. I write about #music insta: benswrite. Book coming out soon.,2012-04-05 18:16:00+00:00,352,734,21285,False,2021-11-24 20:44:30+00:00,Jay Z and Beyoncé have had 162 Grammy Nominations between them 🤯 #GRAMMYs,['GRAMMYs'],Twitter for iPhone,False
Mark A. Schrader,"Charlotte, NC","account of a full time husband, father, son, artist, financial planner. mostly tweeting on evenings and weekends. embrace the journey.",2014-01-12 18:58:20+00:00,2128,2186,2199,False,2021-11-24 20:43:53+00:00,"My vote for song of the year. Everyone listen and share!
@RecordingAcad @KatieToupin
#music #goals #GRAMMYs
https://t.co/ZI5nhU5qhC","['music', 'goals', 'GRAMMYs']",Twitter for Android,False
TheRealPresident,SF Bay Area,All Opinions and/or Personal beliefs expressed are my own and I am not compensated or pressured to post this content nor do they represent any employer/group.,2018-01-22 07:47:34+00:00,44,81,17897,False,2021-11-24 20:43:44+00:00,"📣Justice found its way today! Last week it needed psychotherapy!🙏
#Dems #GOP #Qanons 
#NFL #NCAA #MLB #NBA #NHL 
#Oscars #Emmys #Grammys #Tonys
https://t.co/5gq19Sc6ol","['Dems', 'GOP', 'Qanons', 'NFL', 'NCAA', 'MLB', 'NBA', 'NHL']",Twitter Web App,False
Josiah Sorrent,"Fayetteville, WV",Proud to be in the Democratic/ #Witch/ Proud member of the LGBTQIA+Community/ they/them He/they 🏳️‍🌈/🇮🇹,2017-01-02 20:01:09+00:00,173,507,9498,False,2021-11-24 20:43:04+00:00,Congratulations to @selenagomez for her first #GRAMMYs nomination. So very proud and happy for you!! ❤️,['GRAMMYs'],Twitter for iPhone,False
MC FAB P,"Brampton, Ontario",Emcee | Host |#INTHEMIX|#FRIDAYNIGHTHOUSEPARTY https://t.co/LR9j4Dfa1Y,2011-04-01 02:07:44+00:00,290,416,1552,False,2021-11-24 20:43:03+00:00,This #fridaynight IN THE MIX FRIDAY NIGHT HOUSE PARTY WEEK 85 MC FAB P &amp; DJ EZIO #inthemixlive #FRIDAYNIGHTHOUSEPARTY #canada #ThanksgivingEve #GRAMMYs #FYP #inthemixjinglebeat #live #Livestream #MCFABP #DJEZIO #partynation #Z1035 https://t.co/Oup89HEPiv,"['fridaynight', 'inthemixlive']",Twitter for Android,False
Taylor Swift Facts 🧣,Stream folkmore,85B streams | 500M records sold | 800 awards | 11 GRAMMYs | 31 World Records | 10 #1 albums | 8 #1 singles | Global Icon | Artist of the Decade (Fan Account),2018-03-23 11:27:18+00:00,34678,646,62564,False,2021-11-24 20:42:34+00:00,"""evermore"" by Taylor Swift returns to #1 on US Apple Music Alternative Albums chart, despite being released 11 months ago.

*#GRAMMYs nomination impact* https://t.co/BsiovSlISN",,Twitter for Android,False
Sam | Taylor_ts7 💮,United States,"Taylor swift rerecord album RED Taylor version will be out on November 12, please support her project 
https://t.co/40DQhYWIxO",2021-10-07 15:39:53+00:00,107,309,12213,False,2021-11-24 20:42:31+00:00,"Joe Alwyn really won AOTY #GRAMMYs  and again nominated for this year Grammys
See when you are THEEE  main pop boy",['GRAMMYs'],Twitter Web App,False
safrolah,Republic of the Philippines,"Long live the walls we crashed through I had the time of my life, with you",2020-01-31 13:58:45+00:00,27,251,18570,False,2021-11-24 20:42:29+00:00,"my lock screen is nominated for AOTY @taylorswift13  OMG 🤎🍁🍂
#GRAMMYs https://t.co/VDg9HVxLrS",['GRAMMYs'],Twitter for iPhone,False
gboladesadiq,,,2009-11-13 10:57:53+00:00,130,337,1913,False,2021-11-24 20:41:45+00:00,"#Xbox20   Anniversary #Gift #Packages, #GRAMMYs  #nominations, #RedNotice , #TheWeekend ... https://t.co/h6WN3C06Mu via @YouTube","['Xbox20', 'Gift', 'Packages', 'GRAMMYs', 'nominations', 'RedNotice', 'TheWeekend']",Twitter Web App,False
nic,"she % her -- ariana; conan  
⌗ tae & lisa l♡vebot ˃ᴗ˂
jennie’s girlfriend ( real !! ) 
jonghyun protector bot ღ",my favorite person https://t.co/MH2Bk2i6fh,2020-08-05 21:18:51+00:00,1141,715,22834,False,2021-11-24 20:41:23+00:00,#ChelseaJuve #AllegriOut #GRAMMYs #FINE LINE #SONG OF THE YEAR #The Weeknd #Justin Bieber #Selena #billie #Olivia Rodrigo #Album of the Year #JACK ANTONOFF #halsey #lana #Olivia #ariana #Record of the Year https://t.co/O8heKnV9KQ,"['ChelseaJuve', 'AllegriOut', 'GRAMMYs', 'FINE', 'SONG', 'The', 'Justin', 'Selena', 'billie', 'Olivia']",Twitter for iPhone,False
POPSUGAR,"San Francisco, LA, NYC","Everything you love, all in one place.",2008-05-19 14:48:59+00:00,219217,2152,8178,True,2021-11-24 20:41:03+00:00,This year's #Grammys nominees accomplished a lot of firsts! https://t.co/bLjUd0MbMZ,['Grammys'],popsugar.com,False
Sᴄᴏᴛᴛ Fᴀᴅʏɴɪᴄʜ ❄️,"Tucson, AZ","Producer of art with @LindaChorney Grammy Nominee, @WhenISing Film now available on Amazon. #indie ask me anything",2009-07-02 14:45:43+00:00,5517,4468,48469,False,2021-11-24 20:40:41+00:00,"@RageMichelle @LindaChorney @WhenISing @TheOpeningAct_ @SavingBernie OK, so how do we now explain this @RollingStoneita ?
@RecordingAcad #GRAMMYs Nomination @LindaChorney  @RollingStone  It happened 3 times, and that's a charm.  I need transparency! https://t.co/WSLW1b5dL7",,Twitter Web App,False
Rocco Dapice,New York,pianist; teacher; writer; student @msmnyc,2010-05-28 01:50:15+00:00,820,600,459,False,2021-11-24 20:40:02+00:00,"Let's give it up for @TaylorEigsti who's new album ""Tree Falls"" was nominated for a Grammy!
•
(photo by me at @RockwoodNYC)
#GRAMMYs #jazz #music @gretchenparlato https://t.co/CFkNCyJNoN",,Twitter for Android,False
angeloo, Perú,escuchando golden hour con isabela,2019-04-26 20:09:30+00:00,270,171,3987,False,2021-11-24 20:39:39+00:00,star-crossed is the album of the year #GRAMMYs https://t.co/6zGCLe6p5b,['GRAMMYs'],Twitter for Android,False
Christa Mariner,,Pop Culture Connoisseur 😎  Proud Hoya 👩‍🎓 Christmas Movies Aficionado 🎅🎬,2019-07-15 20:16:54+00:00,125,160,22886,False,2021-11-24 20:39:36+00:00,"@jaimecamil @cincopedia Congratulations to the nominated artists! Would love to see ""Corn Puddin'"" performed at the #GRAMMYs ! 👏🌽🎶 https://t.co/pWAa3jHf6i",,Twitter for Android,False
Kobalt,,"The future of music is simple. Through technology, Kobalt empowers today's music creators with transparency, flexibility, ownership, and control.",2009-04-02 14:52:59+00:00,26905,1894,7003,True,2021-11-24 20:38:27+00:00,"Record of The Year and Song of The Year #GRAMMYs noms are IN! The list includes @DojaCat’s “Kiss Me More”, @justinbieber’s “Peaches” (by Andrew Watt) and @billieeilish’s “Happier Than Ever” (by @finneas). Huge congrats to all the nominees 💥 https://t.co/KvBwB3jiCO",['GRAMMYs'],Twitter for iPhone,False
jikook real keep getting mad 😏😏,where is jikook i am there ,all about jikook 🐰💛💜🐣,2021-06-24 19:43:15+00:00,27,67,7218,False,2021-11-24 20:38:09+00:00,#GRAMMYs #BTSOurGreatestPrize #BTSARMY #BTSxAMAs #BTS you deserve everything until the end i love you 💜 https://t.co/3zLsVDyRJZ,"['GRAMMYs', 'BTSOurGreatestPrize', 'BTSARMY', 'BTSxAMAs', 'BTS']",Twitter for Android,False
jolene,,Law school? 🤨 It’s a perfectly respectable place daddy. 🥲,2019-03-09 15:50:30+00:00,161,69,4475,False,2021-11-24 20:37:28+00:00,Planet Her winning AOTY though??? #GRAMMYs https://t.co/yiNvCv9f6r,['GRAMMYs'],Twitter for iPhone,False
Joshua Simonds,"Indianapolis, IN","Executive Director, @PercussiveArts, @RhythmDiscovery, #PASIC.",2012-09-23 03:34:51+00:00,1074,1015,13820,False,2021-11-24 20:37:20+00:00,Holy #percussion #GrammyNominations Batman! Congrats @ThirdCoastPerc @sopercussion @sandboxperc #GRAMMYs #chambermusic https://t.co/9xNdWk1ntD,"['percussion', 'GrammyNominations', 'GRAMMYs']",Twitter for iPhone,False
Valor Skunk Z 🌊,,⚡️Content Creator for @ValorEsportsGGs ⚡️twitch:Skunk_Z ⚡️YouTube: https://t.co/j9fXcm0V2D,2017-03-20 08:36:59+00:00,189,278,5452,False,2021-11-24 20:36:55+00:00,"NEW PR 😮‍💨😮‍💨 did this in solos and got the W. Video dropping Friday 🍻
@ValorEsportsGGs #warzone #WarzonePacific #GRAMMYs #Airdrop https://t.co/iaDApJhizX","['warzone', 'WarzonePacific']",Twitter for iPhone,False
JP @ Accueil Artistes / Artists Check In,"Nantes (44), France.","Crew Member @
✝ #HardcoreFuryFest (Rezé),
✝ #FuryFest (Le Mans),
🤘🏻 #Hellfest (Clisson),
since 2003.
#Hellfest - ''Powered by Hellfest Crew since 2006''",2018-04-01 11:50:50+00:00,370,78,2168,False,2021-11-24 20:36:46+00:00,@GojiraMusic 's track #Amazonia nominated for a #GRAMMYs by the @RecordingAcad !! https://t.co/4oJHE8UwAF,"['Amazonia', 'GRAMMYs']",Twitter for Android,False
Dabeme POP,,Dabeme Pop is an online voting site. The site opens to the public to choose their favorites in various categories.,2017-04-05 19:34:27+00:00,166861,2,980,False,2021-11-24 20:36:01+00:00,"Who will stand out in #GRAMMYs 2022?

#1 Justin Bieber 19.50%
#2 BTS 17.90%
#3 Doja Cat 14.3%
#4 Taylor Swift 14.1%
#5 Billie Eilish 11.3%
#6 Ariana Grande 9.7%
#7 Olivia Rodrigo 5.5%
#8 Lady Gaga 5.0%
#9 Selena Gomez 2.1%
#10 Bad Bunny 0.3%

👉 Vote Now: https://t.co/KSN9VxFvDA",['GRAMMYs'],Twitter for Android,False
❤️ Personalized Birthday Books 🦋,Los Angeles,"Award winning Children’s Books 📚 

Personalized Kids Birthday activity book 🎁",2018-09-11 08:12:22+00:00,741,4494,20980,False,2021-11-24 20:35:31+00:00,"Merry Christmas to Michelle Tuchel from Virginia🎅

We’re sending  you a free Xmas activity book🎁 Enjoy the #GRAMMYs https://t.co/XbKXQwwnXg",['GRAMMYs'],Twitter Web App,False
𝗦𝘁𝗮𝗿𝗺𝗲𝗱𝗶𝗮𝗻𝗮𝗶𝗷𝗮,Nigeria,"Online Business Guide For Beginners.
Learn How To Start An Online Business And Start Making Money For Free. Contact Us: starmedianaija@gmail.com",2021-02-19 01:03:00+00:00,9,404,16,False,2021-11-24 20:35:26+00:00,"Do you want to have a blog of your own? Take advantage of Black Friday discount and host your blog for as low as $2.65/mo  on Bluehost offer ends Nov 28 : https://t.co/C9xHPyy6ta
#Koalitionsvertrag
Man Utd
""Big Wiz""
#GRAMMYs
#BlackFriday 
#WordPress 
#BlackFriday2021 
#WordPress https://t.co/8ulX4YOd9e",,Twitter for Android,False
CytoHunter,,Ahhh the Freedom... I wish to live it.,2021-10-20 13:16:12+00:00,7,76,1353,False,2021-11-24 20:34:15+00:00,#KashmirBleeds #GRAMMYs #2022 Grammys #cryptocurrecy https://t.co/TzATu9K968,"['KashmirBleeds', 'GRAMMYs', 'cryptocurrecy']",Twitter for iPhone,False
TellMeAll_Naija,Nigeria,"@TellMeAll_Naija is here to bring you the latest in news and entertainment around the world, to wet your appetite and leave you in euphoria.",2019-12-26 01:29:47+00:00,221,642,4543,False,2021-11-24 20:34:01+00:00,"Do you want to have a blog of your own? Take advantage of Black Friday discount and host your blog for as low as $2.65/mo  on Bluehost offer ends Nov 28 : https://t.co/U9x5YQBBxu
#Koalitionsvertrag
Man Utd
""Big Wiz""
#GRAMMYs
#BlackFriday 
#WordPress 
#BlackFriday2021 
#WordPress https://t.co/89j7H61jOu",,Twitter for Android,False
D robinz mubiru,Kampala,"singer/songwriter,music & playing soccer & watching it is my menu.",2016-05-20 22:31:27+00:00,104,632,4195,False,2021-11-24 20:33:42+00:00,#trendingchallenge #robadobahstyle by Drobinz X Nigga #GRAMMYs #ViralVideo   @SheilahGashumba @DouglasLwangaUg @mckatsug @DjRoja @dvjmercypro #support🙏 https://t.co/VdDXGMAG4M,"['trendingchallenge', 'robadobahstyle', 'GRAMMYs', 'ViralVideo']",Twitter for Android,False
‏ً,ً,"jennie♥️rose💜, jisoo💖| #BlackLivesMatter",2020-06-06 00:07:30+00:00,685,503,29528,False,2021-11-24 20:33:04+00:00,"@arihannaoutdid @bossafantasy @emanchiji -when billie eilish became the first female artist, youngest artist, second artist in history, and only freshly debuted artist to sweep the big 4 categories at the 62nd #GRAMMYs",,Twitter for iPhone,False
